window_id,dataset,class,strategy,post_mean,post_std,peak_contrast_pre,peak_contrast_post,freq_profile_corr_pre_post,temporal_profile_corr_pre_post,n1_window_floored
f1:JNU:jnu_ob800_2:B:acc_vertical:train:125100-175100,JNU,ob,N2,0.979,1.1556,1.821,1.987,0.8009,0.9988,
f1:JNU:jnu_tb1000_2:B:acc_vertical:train:125100-175100,JNU,tb,N1,0.0,1.0,2.454,2.454,1.0,1.0,False
f1:JNU:jnu_tb1000_2:B:acc_vertical:train:125100-175100,JNU,tb,N2,0.8224,1.2341,2.454,2.418,0.6538,0.9972,
f1:JNU:jnu_tb600_2:B:acc_vertical:train:125100-175100,JNU,tb,N1,0.0,1.0,3.39,3.39,1.0,1.0,False
f1:JNU:jnu_tb600_2:B:acc_vertical:train:125100-175100,JNU,tb,N2,-0.5988,0.8821,3.39,3.235,0.3731,0.9992,
f1:JNU:jnu_tb800_2:B:acc_vertical:train:125100-175100,JNU,tb,N1,-0.0,1.0,3.151,3.151,1.0,1.0,False
f1:JNU:jnu_tb800_2:B:acc_vertical:train:125100-175100,JNU,tb,N2,-0.2301,1.005,3.151,3.082,0.5215,0.9993,
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,horizontal-misalignment,N1,0.0,1.0,4.127,4.127,1.0,1.0,False
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,horizontal-misalignment,N2,-0.7349,0.7404,4.127,3.422,0.2416,0.9986,
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,horizontal-misalignment,N1,0.0,1.0,3.712,3.712,1.0,1.0,False
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,horizontal-misalignment,N2,0.0729,0.7203,3.712,2.154,0.2484,0.9396,
f1:MAFAULDA:mafaulda_horizontal-misalignment_1.5mm_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,horizontal-misalignment,N1,0.0,1.0,3.118,3.118,1.0,1.0,False
f1:MAFAULDA:mafaulda_horizontal-misalignment_1.5mm_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,horizontal-misalignment,N2,0.3433,0.8882,3.118,2.147,0.348,0.9467,
f1:MAFAULDA:mafaulda_imbalance_15g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,imbalance,N1,-0.0,1.0,3.9,3.9,1.0,1.0,False
f1:MAFAULDA:mafaulda_imbalance_15g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,imbalance,N2,-0.5137,0.7271,3.9,3.22,0.2146,0.9983,
f1:MAFAULDA:mafaulda_imbalance_30g_34.816:col3_underhang_radial:train:100000-150000,MAFAULDA,imbalance,N1,0.0,1.0,4.038,4.038,1.0,1.0,False
f1:MAFAULDA:mafaulda_imbalance_30g_34.816:col3_underhang_radial:train:100000-150000,MAFAULDA,imbalance,N2,-0.0971,0.7416,4.038,3.044,0.212,0.9835,
f1:MAFAULDA:mafaulda_imbalance_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,imbalance,N1,0.0,1.0,3.796,3.796,1.0,1.0,False
f1:MAFAULDA:mafaulda_imbalance_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,imbalance,N2,0.279,0.7519,3.796,2.201,0.2597,0.9677,
f1:MAFAULDA:mafaulda_normal_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,normal,N1,-0.0,1.0,3.882,3.882,1.0,1.0,False
f1:MAFAULDA:mafaulda_normal_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,normal,N2,-0.6229,0.6697,3.882,3.137,0.1705,0.9964,
f1:MAFAULDA:mafaulda_normal_36.4544:col3_underhang_radial:train:100000-150000,MAFAULDA,normal,N1,0.0,1.0,4.093,4.093,1.0,1.0,False
f1:MAFAULDA:mafaulda_normal_36.4544:col3_underhang_radial:train:100000-150000,MAFAULDA,normal,N2,-0.2287,0.6903,4.093,2.727,0.041,0.9496,
f1:MAFAULDA:mafaulda_normal_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,normal,N1,-0.0,1.0,3.942,3.942,1.0,1.0,False
f1:MAFAULDA:mafaulda_normal_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,normal,N2,0.123,0.7352,3.942,2.378,-0.0013,0.9491,
f1:MAFAULDA:mafaulda_overhang_ball_fault_35g_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/ball_fault,N1,0.0,1.0,2.911,2.911,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_ball_fault_35g_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/ball_fault,N2,0.2834,1.0772,2.911,2.088,0.7541,0.9749,
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_24.7808:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/ball_fault,N1,0.0,1.0,2.802,2.802,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_24.7808:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/ball_fault,N2,1.2573,1.2506,2.802,1.946,0.6391,0.9856,
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_55.296:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/ball_fault,N1,-0.0,1.0,2.468,2.468,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_55.296:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/ball_fault,N2,4.4447,1.8778,2.468,2.558,-0.2475,0.9941,
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/cage_fault,N1,0.0,1.0,3.966,3.966,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/cage_fault,N2,-0.9892,0.4932,3.966,3.239,-0.0234,0.9749,
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_58.368:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/cage_fault,N1,-0.0,1.0,3.492,3.492,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_58.368:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/cage_fault,N2,0.5479,0.9776,3.492,1.963,0.667,0.9847,
f1:MAFAULDA:mafaulda_overhang_cage_fault_35g_54.0672:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/cage_fault,N1,0.0,1.0,3.363,3.363,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_cage_fault_35g_54.0672:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/cage_fault,N2,0.6271,0.979,3.363,2.112,0.4985,0.9683,
f1:MAFAULDA:mafaulda_overhang_outer_race_35g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/outer_race,N1,0.0,1.0,4.004,4.004,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_outer_race_35g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/outer_race,N2,-0.8719,0.5378,4.004,3.173,-0.0065,0.9931,
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_17.6128:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/outer_race,N1,0.0,1.0,4.013,4.013,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_17.6128:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/outer_race,N2,-0.865,0.5023,4.013,2.801,0.1173,0.9858,
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/outer_race,N1,0.0,1.0,3.515,3.515,1.0,1.0,False
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,overhang/outer_race,N2,0.4425,0.9471,3.515,1.998,0.4319,0.9738,
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/ball_fault,N1,0.0,1.0,4.44,4.44,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/ball_fault,N2,-0.4964,0.6923,4.44,3.181,0.4282,0.9902,
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_56.5248:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/ball_fault,N1,-0.0,1.0,3.385,3.385,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_56.5248:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/ball_fault,N2,0.9267,1.0521,3.385,2.079,0.7917,0.9494,
f1:MAFAULDA:mafaulda_underhang_ball_fault_35g_50.7904:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/ball_fault,N1,0.0,1.0,3.089,3.089,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_ball_fault_35g_50.7904:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/ball_fault,N2,1.6402,1.2484,3.089,1.889,0.7317,0.9925,
f1:MAFAULDA:mafaulda_underhang_cage_fault_35g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/cage_fault,N1,-0.0,1.0,3.855,3.855,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_cage_fault_35g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/cage_fault,N2,-0.5685,0.6699,3.855,3.254,0.1791,0.9947,
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_16.1792:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/cage_fault,N1,-0.0,1.0,3.754,3.754,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_16.1792:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/cage_fault,N2,-0.6178,0.6212,3.754,3.219,0.1599,0.9932,
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/cage_fault,N1,0.0,1.0,3.37,3.37,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/cage_fault,N2,0.4631,0.8487,3.37,2.061,0.5063,0.9599,
f1:MAFAULDA:mafaulda_underhang_outer_race_0g_13.5168:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/outer_race,N1,-0.0,1.0,4.026,4.026,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_outer_race_0g_13.5168:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/outer_race,N2,-0.689,0.5806,4.026,3.375,0.3975,0.9653,
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_12.9024:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/outer_race,N1,0.0,1.0,3.746,3.746,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_12.9024:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/outer_race,N2,-0.6447,0.6123,3.746,3.438,0.3204,0.9797,
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/outer_race,N1,-0.0,1.0,3.486,3.486,1.0,1.0,False
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,underhang/outer_race,N2,0.3663,0.8358,3.486,1.993,0.7426,0.9617,
f1:MAFAULDA:mafaulda_vertical-misalignment_0.51mm_12.4928:col3_underhang_radial:train:100000-150000,MAFAULDA,vertical-misalignment,N1,0.0,1.0,4.173,4.173,1.0,1.0,False
f1:MAFAULDA:mafaulda_vertical-misalignment_0.51mm_12.4928:col3_underhang_radial:train:100000-150000,MAFAULDA,vertical-misalignment,N2,-0.574,0.7289,4.173,3.404,0.2228,0.9986,
f1:MAFAULDA:mafaulda_vertical-misalignment_0.63mm_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,vertical-misalignment,N1,0.0,1.0,3.548,3.548,1.0,1.0,False
f1:MAFAULDA:mafaulda_vertical-misalignment_0.63mm_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,vertical-misalignment,N2,0.3878,0.8332,3.548,2.145,0.2716,0.9433,
f1:MAFAULDA:mafaulda_vertical-misalignment_1.78mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,vertical-misalignment,N1,0.0,1.0,3.167,3.167,1.0,1.0,False
f1:MAFAULDA:mafaulda_vertical-misalignment_1.78mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,vertical-misalignment,N2,0.5329,0.8673,3.167,2.118,0.2539,0.9662,
