window_id,dataset,strategy,post_min,post_p1,post_p99,post_max,finite
f1:HIT:hit_data5_rec14:ch3:train:175000-200000,HIT,N2,-2.629,-1.792,2.418,3.61,True
f1:HIT:hit_data5_rec23:ch3:train:175000-200000,HIT,N1,-1.666,-1.488,3.706,4.657,True
f1:HIT:hit_data5_rec23:ch3:train:175000-200000,HIT,N2,-2.608,-1.777,2.514,4.339,True
f1:JNU:jnu_ib1000_2:B:acc_vertical:train:125100-175100,JNU,N1,-2.289,-1.878,2.723,4.318,True
f1:JNU:jnu_ib1000_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.396,-1.518,3.253,5.08,True
f1:JNU:jnu_ib600_2:B:acc_vertical:train:125100-175100,JNU,N1,-1.707,-1.499,3.312,5.736,True
f1:JNU:jnu_ib600_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.947,-1.882,2.006,4.834,True
f1:JNU:jnu_ib800_2:B:acc_vertical:train:125100-175100,JNU,N1,-1.979,-1.689,2.945,4.478,True
f1:JNU:jnu_ib800_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.512,-1.688,3.039,5.25,True
f1:JNU:jnu_n1000_3_2:B:acc_vertical:train:425300-475300,JNU,N1,-2.407,-1.977,2.574,5.409,True
f1:JNU:jnu_n1000_3_2:B:acc_vertical:train:425300-475300,JNU,N2,-3.115,-1.54,1.874,3.328,True
f1:JNU:jnu_n600_3_2:B:acc_vertical:train:425300-475300,JNU,N1,-1.705,-1.514,3.275,5.624,True
f1:JNU:jnu_n600_3_2:B:acc_vertical:train:425300-475300,JNU,N2,-3.692,-1.932,0.714,2.083,True
f1:JNU:jnu_n800_3_2:B:acc_vertical:train:425300-475300,JNU,N1,-2.149,-1.842,2.679,5.484,True
f1:JNU:jnu_n800_3_2:B:acc_vertical:train:425300-475300,JNU,N2,-3.698,-1.714,1.16,2.122,True
f1:JNU:jnu_ob1000_2:B:acc_vertical:train:125100-175100,JNU,N1,-2.179,-1.949,1.943,2.446,True
f1:JNU:jnu_ob1000_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.474,-1.48,3.553,5.078,True
f1:JNU:jnu_ob600_2:B:acc_vertical:train:125100-175100,JNU,N1,-1.738,-1.6,2.179,2.947,True
f1:JNU:jnu_ob600_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.593,-1.845,2.628,3.8,True
f1:JNU:jnu_ob800_2:B:acc_vertical:train:125100-175100,JNU,N1,-2.232,-2.049,1.907,2.61,True
f1:JNU:jnu_ob800_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.851,-1.493,3.351,4.656,True
f1:JNU:jnu_tb1000_2:B:acc_vertical:train:125100-175100,JNU,N1,-1.97,-1.733,2.338,3.829,True
f1:JNU:jnu_tb1000_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.137,-1.543,3.693,5.582,True
f1:JNU:jnu_tb600_2:B:acc_vertical:train:125100-175100,JNU,N1,-1.405,-1.289,3.132,5.626,True
f1:JNU:jnu_tb600_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.662,-1.97,2.055,3.77,True
f1:JNU:jnu_tb800_2:B:acc_vertical:train:125100-175100,JNU,N1,-1.544,-1.405,2.923,4.973,True
f1:JNU:jnu_tb800_2:B:acc_vertical:train:125100-175100,JNU,N2,-3.43,-1.855,2.657,4.443,True
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.221,-1.107,3.87,7.734,True
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-8.61,-1.962,1.693,5.537,True
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.552,-1.369,3.459,4.394,True
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.048,-1.617,1.645,3.027,True
f1:MAFAULDA:mafaulda_horizontal-misalignment_1.5mm_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.678,-1.476,2.861,4.01,True
f1:MAFAULDA:mafaulda_horizontal-misalignment_1.5mm_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-4.87,-1.753,2.265,3.485,True
f1:MAFAULDA:mafaulda_imbalance_15g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.364,-1.204,3.661,7.378,True
f1:MAFAULDA:mafaulda_imbalance_15g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.094,-1.77,1.709,3.406,True
f1:MAFAULDA:mafaulda_imbalance_30g_34.816:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.384,-1.225,3.776,5.504,True
f1:MAFAULDA:mafaulda_imbalance_30g_34.816:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.183,-1.581,2.119,4.085,True
f1:MAFAULDA:mafaulda_imbalance_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.528,-1.338,3.547,4.867,True
f1:MAFAULDA:mafaulda_imbalance_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.402,-1.505,1.966,3.404,True
f1:MAFAULDA:mafaulda_normal_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.332,-1.186,3.647,7.567,True
f1:MAFAULDA:mafaulda_normal_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.532,-1.825,1.379,3.461,True
f1:MAFAULDA:mafaulda_normal_36.4544:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.454,-1.275,3.849,5.566,True
f1:MAFAULDA:mafaulda_normal_36.4544:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.533,-1.609,1.605,3.005,True
f1:MAFAULDA:mafaulda_normal_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.602,-1.388,3.716,4.739,True
f1:MAFAULDA:mafaulda_normal_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.275,-1.533,1.875,3.147,True
f1:MAFAULDA:mafaulda_overhang_ball_fault_35g_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.275,-1.196,2.6,3.519,True
f1:MAFAULDA:mafaulda_overhang_ball_fault_35g_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-2.965,-1.848,2.521,3.54,True
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_24.7808:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.527,-1.372,2.494,3.197,True
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_24.7808:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.192,-1.543,3.818,4.989,True
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_55.296:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-2.624,-1.88,2.318,3.006,True
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_55.296:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.843,-0.271,9.179,11.329,True
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.13,-1.033,3.673,7.188,True
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.277,-1.992,0.553,2.284,True
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_58.368:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.341,-1.208,3.164,4.119,True
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_58.368:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.744,-1.701,2.499,3.891,True
f1:MAFAULDA:mafaulda_overhang_cage_fault_35g_54.0672:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.445,-1.284,3.061,4.788,True
f1:MAFAULDA:mafaulda_overhang_cage_fault_35g_54.0672:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.179,-1.663,2.733,4.814,True
f1:MAFAULDA:mafaulda_overhang_outer_race_35g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.175,-1.072,3.707,6.528,True
f1:MAFAULDA:mafaulda_overhang_outer_race_35g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.791,-1.97,0.778,2.584,True
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_17.6128:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.151,-1.053,3.704,5.82,True
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_17.6128:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-5.028,-2.012,0.512,1.74,True
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.468,-1.302,3.203,3.953,True
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.618,-1.835,2.398,3.862,True
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.189,-1.063,4.165,5.93,True
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.006,-1.719,1.605,3.601,True
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_56.5248:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.371,-1.229,3.004,3.668,True
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_56.5248:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.552,-1.425,3.131,4.134,True
f1:MAFAULDA:mafaulda_underhang_ball_fault_35g_50.7904:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.501,-1.319,2.714,3.305,True
f1:MAFAULDA:mafaulda_underhang_ball_fault_35g_50.7904:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-2.904,-1.268,4.076,5.213,True
f1:MAFAULDA:mafaulda_underhang_cage_fault_35g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.34,-1.191,3.611,7.235,True
f1:MAFAULDA:mafaulda_underhang_cage_fault_35g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.592,-1.764,1.514,3.043,True
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_16.1792:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.316,-1.177,3.496,7.118,True
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_16.1792:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.486,-1.76,1.303,2.465,True
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.531,-1.352,3.076,4.093,True
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-2.78,-1.523,2.255,3.303,True
f1:MAFAULDA:mafaulda_underhang_outer_race_0g_13.5168:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.172,-1.055,3.73,6.321,True
f1:MAFAULDA:mafaulda_underhang_outer_race_0g_13.5168:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.378,-1.776,1.207,2.864,True
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_12.9024:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.226,-1.104,3.463,6.729,True
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_12.9024:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.019,-1.752,1.385,2.73,True
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.346,-1.212,3.157,4.581,True
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-2.771,-1.573,2.073,2.975,True
f1:MAFAULDA:mafaulda_vertical-misalignment_0.51mm_12.4928:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.301,-1.174,3.941,7.768,True
f1:MAFAULDA:mafaulda_vertical-misalignment_0.51mm_12.4928:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-8.445,-1.824,1.793,3.74,True
f1:MAFAULDA:mafaulda_vertical-misalignment_0.63mm_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.68,-1.471,3.313,4.632,True
f1:MAFAULDA:mafaulda_vertical-misalignment_0.63mm_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-2.992,-1.526,2.189,3.588,True
f1:MAFAULDA:mafaulda_vertical-misalignment_1.78mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,N1,-1.74,-1.517,2.921,3.952,True
f1:MAFAULDA:mafaulda_vertical-misalignment_1.78mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,N2,-3.349,-1.476,2.385,3.282,True
