recording_id,internal_variable_id,official_download_number,source_sha256_frozen,class,fault_type,diameter_mil,or_position_oclock,load_hp,rpm_in_file,n_samples,duration_s,group_A_recording,group_B_specimen_x_load,group_C1_installation,group_C2_specimen,specimen_identity_evidence
cwru_X099,X099,99,4b97e6b5361f45ef,Healthy,healthy,,,2,1750.0,485063,10.105,cwru_X099,cwru48k_Normal_load2,cwru48k_Normal,cwru48k_Normal,single healthy baseline set 97-100; no second healthy bearing documented
cwru_X100,X100,100,88a5990cb541320e,Healthy,healthy,,,3,1725.0,485643,10.118,cwru_X100,cwru48k_Normal_load3,cwru48k_Normal,cwru48k_Normal,single healthy baseline set 97-100; no second healthy bearing documented
cwru_X109,X109,109,daddef5f784879be,InnerRace,inner_race,7.0,,0,1796.0,243938,5.082,cwru_X109,cwru48k_IR007_load0,cwru48k_IR007,cwru48k_IR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X110,X110,110,9e2bc579af6f4e6d,InnerRace,inner_race,7.0,,1,1772.0,486224,10.13,cwru_X110,cwru48k_IR007_load1,cwru48k_IR007,cwru48k_IR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X111,X111,111,a2e64a397a990efb,InnerRace,inner_race,7.0,,2,1748.0,485643,10.118,cwru_X111,cwru48k_IR007_load2,cwru48k_IR007,cwru48k_IR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X112,X112,112,1775db11999f268c,InnerRace,inner_race,7.0,,3,1721.0,485643,10.118,cwru_X112,cwru48k_IR007_load3,cwru48k_IR007,cwru48k_IR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X173,X173,174,ca7113a900d9217a,InnerRace,inner_race,14.0,,0,1796.0,63788,1.329,cwru_X173,cwru48k_IR014_load0,cwru48k_IR014,cwru48k_IR014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X175,X175,175,18302e96425ad163,InnerRace,inner_race,14.0,,1,1772.0,381890,7.956,cwru_X175,cwru48k_IR014_load1,cwru48k_IR014,cwru48k_IR014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X176,X176,176,569c7b292018e7e8,InnerRace,inner_race,14.0,,2,1751.0,487964,10.166,cwru_X176,cwru48k_IR014_load2,cwru48k_IR014,cwru48k_IR014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X177,X177,177,5cffc5aa2b1e5cc6,InnerRace,inner_race,14.0,,3,1726.0,485063,10.105,cwru_X177,cwru48k_IR014_load3,cwru48k_IR014,cwru48k_IR014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X213,X213,213,6afb81f36a9efcdd,InnerRace,inner_race,21.0,,0,1796.0,244339,5.09,cwru_X213,cwru48k_IR021_load0,cwru48k_IR021,cwru48k_IR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X214,X214,214,a8fe29f358b7f9c1,InnerRace,inner_race,21.0,,1,1774.0,485063,10.105,cwru_X214,cwru48k_IR021_load1,cwru48k_IR021,cwru48k_IR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X215,X215,215,1e3d65088782a29a,InnerRace,inner_race,21.0,,2,1752.0,491446,10.238,cwru_X215,cwru48k_IR021_load2,cwru48k_IR021,cwru48k_IR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X217,X217,217,fb5b067c04b4c844,InnerRace,inner_race,21.0,,3,1727.0,489125,10.19,cwru_X217,cwru48k_IR021_load3,cwru48k_IR021,cwru48k_IR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X161,X161,161,bd426b6fb9501b5d,OuterRace,outer_race,7.0,12,0,1796.0,129969,2.708,cwru_X161,cwru48k_OR007@12_load0,cwru48k_OR007@12,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X162,X162,162,c61dfb2600ac9cba,OuterRace,outer_race,7.0,12,1,1772.0,482742,10.057,cwru_X162,cwru48k_OR007@12_load1,cwru48k_OR007@12,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X163,X163,163,77e38a8b8e67d820,OuterRace,outer_race,7.0,12,2,1749.0,483323,10.069,cwru_X163,cwru48k_OR007@12_load2,cwru48k_OR007@12,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X164,X164,164,baf59b7f7052bde9,OuterRace,outer_race,7.0,12,3,1723.0,484483,10.093,cwru_X164,cwru48k_OR007@12_load3,cwru48k_OR007@12,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X148,X148,148,917d93670a6de924,OuterRace,outer_race,7.0,3,0,1797.0,124602,2.596,cwru_X148,cwru48k_OR007@3_load0,cwru48k_OR007@3,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X149,X149,149,6b94cdfeedfbd21c,OuterRace,outer_race,7.0,3,1,1773.0,485063,10.105,cwru_X149,cwru48k_OR007@3_load1,cwru48k_OR007@3,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X150,X150,150,7dcfad2d179ad927,OuterRace,outer_race,7.0,3,2,1750.0,485643,10.118,cwru_X150,cwru48k_OR007@3_load2,cwru48k_OR007@3,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X151,X151,151,e0339d60f58930fe,OuterRace,outer_race,7.0,3,3,1724.0,486224,10.13,cwru_X151,cwru48k_OR007@3_load3,cwru48k_OR007@3,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X135,X135,135,5a1c3ceec1f2b58a,OuterRace,outer_race,7.0,6,0,1796.0,243538,5.074,cwru_X135,cwru48k_OR007@6_load0,cwru48k_OR007@6,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X136,X136,136,37f259eebbc92afa,OuterRace,outer_race,7.0,6,1,1774.0,486804,10.142,cwru_X136,cwru48k_OR007@6_load1,cwru48k_OR007@6,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X137,X137,137,a81b621153e426aa,OuterRace,outer_race,7.0,6,2,1750.0,486804,10.142,cwru_X137,cwru48k_OR007@6_load2,cwru48k_OR007@6,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X138,X138,138,b43eeb67badeb129,OuterRace,outer_race,7.0,6,3,1725.0,487964,10.166,cwru_X138,cwru48k_OR007@6_load3,cwru48k_OR007@6,cwru48k_OR007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X201,X201,201,6c27615a61f19f05,OuterRace,outer_race,14.0,6,0,1796.0,245140,5.107,cwru_X201,cwru48k_OR014@6_load0,cwru48k_OR014@6,cwru48k_OR014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X202,X202,202,16f1a7eadbd6703a,OuterRace,outer_race,14.0,6,1,1772.0,484483,10.093,cwru_X202,cwru48k_OR014@6_load1,cwru48k_OR014@6,cwru48k_OR014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X203,X203,203,3cad2848f4c96cde,OuterRace,outer_race,14.0,6,2,1749.0,486804,10.142,cwru_X203,cwru48k_OR014@6_load2,cwru48k_OR014@6,cwru48k_OR014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X204,X204,204,f3b1736698a580c2,OuterRace,outer_race,14.0,6,3,1723.0,488545,10.178,cwru_X204,cwru48k_OR014@6_load3,cwru48k_OR014@6,cwru48k_OR014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X262,X262,262,aacd79e77bc71276,OuterRace,outer_race,21.0,12,0,1796.0,130549,2.72,cwru_X262,cwru48k_OR021@12_load0,cwru48k_OR021@12,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X263,X263,263,7f9b92bb538bbdda,OuterRace,outer_race,21.0,12,1,1771.0,486224,10.13,cwru_X263,cwru48k_OR021@12_load1,cwru48k_OR021@12,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X264,X264,264,0a2c21b416386a7d,OuterRace,outer_race,21.0,12,2,1746.0,486804,10.142,cwru_X264,cwru48k_OR021@12_load2,cwru48k_OR021@12,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X265,X265,265,de8e9f58f73b75c0,OuterRace,outer_race,21.0,12,3,1718.0,486224,10.13,cwru_X265,cwru48k_OR021@12_load3,cwru48k_OR021@12,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X250,X250,250,0c4a4f6eab7745da,OuterRace,outer_race,21.0,3,0,1796.0,128663,2.68,cwru_X250,cwru48k_OR021@3_load0,cwru48k_OR021@3,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X251,X251,251,5d88b77ea2d24a5f,OuterRace,outer_race,21.0,3,1,1770.0,489705,10.202,cwru_X251,cwru48k_OR021@3_load1,cwru48k_OR021@3,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X252,X252,252,5f41f6ad32cfab90,OuterRace,outer_race,21.0,3,2,1746.0,487384,10.154,cwru_X252,cwru48k_OR021@3_load2,cwru48k_OR021@3,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X253,X253,253,9039c52a922d6fd8,OuterRace,outer_race,21.0,3,3,1719.0,484483,10.093,cwru_X253,cwru48k_OR021@3_load3,cwru48k_OR021@3,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X238,X238,238,63209a4057f199be,OuterRace,outer_race,21.0,6,0,1796.0,246342,5.132,cwru_X238,cwru48k_OR021@6_load0,cwru48k_OR021@6,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X239,X239,239,4ba7dc5525835957,OuterRace,outer_race,21.0,6,1,1771.0,489125,10.19,cwru_X239,cwru48k_OR021@6_load1,cwru48k_OR021@6,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X240,X240,240,c5d8b4db09880b66,OuterRace,outer_race,21.0,6,2,1747.0,487964,10.166,cwru_X240,cwru48k_OR021@6_load2,cwru48k_OR021@6,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
cwru_X241,X241,241,cb64eed96d401837,OuterRace,outer_race,21.0,6,3,1719.0,489125,10.19,cwru_X241,cwru48k_OR021@6_load3,cwru48k_OR021@6,cwru48k_OR021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads; OR position identity across reinstallations NOT documented
