window_id,dataset,temporal_corr_lag1,temporal_corr_lag2,temporal_corr_lag4,freq_corr_dist1,freq_corr_dist2,freq_corr_dist4,neighbour_interp_residual_ratio,patch_energy_p95_over_median
f1:HIT:hit_data2_rec24:ch3:train:175000-200000,HIT,0.1386,0.1414,0.144,-0.016,-0.0018,-0.0226,1.3436,1.96
f1:HIT:hit_data3_rec00:ch3:train:175000-200000,HIT,0.3081,0.3034,0.3028,-0.0464,-0.0004,-0.0489,0.9912,1.77
f1:HIT:hit_data4_rec00:ch3:train:175000-200000,HIT,0.1681,0.1739,0.1683,0.0361,0.014,0.0376,1.2567,1.82
f1:HIT:hit_data4_rec27:ch3:train:175000-200000,HIT,0.1337,0.1216,0.1308,-0.0029,-0.0077,0.0174,1.3189,1.88
f1:HIT:hit_data5_rec00:ch3:train:175000-200000,HIT,0.2382,0.2416,0.2327,0.011,0.0368,0.046,1.175,1.7
f1:HIT:hit_data5_rec14:ch3:train:175000-200000,HIT,0.1417,0.1333,0.1379,-0.0031,0.0132,0.014,1.3138,2.92
f1:HIT:hit_data5_rec23:ch3:train:175000-200000,HIT,0.1151,0.1247,0.1146,-0.009,0.0259,0.0173,1.3711,2.36
f1:JNU:jnu_ib1000_2:B:acc_vertical:train:125100-175100,JNU,-0.1276,-0.0092,-0.1503,0.3379,0.3178,0.3056,1.9841,3.25
f1:JNU:jnu_ib600_2:B:acc_vertical:train:125100-175100,JNU,0.066,-0.0464,-0.0013,0.2624,0.2636,0.2597,1.595,1.87
f1:JNU:jnu_ib800_2:B:acc_vertical:train:125100-175100,JNU,0.2051,0.1602,-0.0772,0.3815,0.3661,0.351,1.4316,3.41
f1:JNU:jnu_n1000_3_2:B:acc_vertical:train:425300-475300,JNU,0.0195,0.0106,0.0073,0.0212,0.0216,0.0143,1.5274,2.31
f1:JNU:jnu_n600_3_2:B:acc_vertical:train:425300-475300,JNU,0.0811,0.0521,0.0511,0.0601,0.0694,0.0669,1.3952,1.35
f1:JNU:jnu_n800_3_2:B:acc_vertical:train:425300-475300,JNU,0.029,0.0233,0.0077,0.0264,0.0262,0.0323,1.4965,1.69
f1:JNU:jnu_ob1000_2:B:acc_vertical:train:125100-175100,JNU,-0.1195,-0.0507,-0.1418,0.5245,0.5053,0.4923,1.9752,2.06
f1:JNU:jnu_ob600_2:B:acc_vertical:train:125100-175100,JNU,0.1451,-0.3663,0.2844,0.6373,0.6129,0.6051,1.3221,2.1
f1:JNU:jnu_ob800_2:B:acc_vertical:train:125100-175100,JNU,0.4685,0.3701,0.084,0.513,0.4603,0.4451,0.9513,2.17
f1:JNU:jnu_tb1000_2:B:acc_vertical:train:125100-175100,JNU,0.086,0.0154,0.0797,0.5504,0.5014,0.4583,1.7335,2.95
f1:JNU:jnu_tb600_2:B:acc_vertical:train:125100-175100,JNU,-0.0904,0.0919,0.0471,0.4255,0.3974,0.3948,2.3699,1.94
f1:JNU:jnu_tb800_2:B:acc_vertical:train:125100-175100,JNU,-0.0793,0.1202,-0.091,0.5056,0.4828,0.4584,2.2053,2.73
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0971,0.1001,0.1007,0.1102,0.0834,0.0908,0.9345,1.98
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0502,0.1119,0.1025,-0.0099,0.0158,0.0145,1.494,1.82
f1:MAFAULDA:mafaulda_horizontal-misalignment_1.5mm_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,0.109,0.1484,0.1457,0.0097,-0.013,0.0312,1.3214,2.64
f1:MAFAULDA:mafaulda_imbalance_15g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0607,0.1036,0.0426,0.0678,0.0565,0.064,1.5348,2.23
f1:MAFAULDA:mafaulda_imbalance_30g_34.816:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0124,0.0207,0.0318,0.1156,0.1082,0.1194,1.6055,2.63
f1:MAFAULDA:mafaulda_imbalance_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,0.031,0.1277,0.1267,0.0197,0.0219,0.0257,1.5355,2.02
f1:MAFAULDA:mafaulda_normal_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,0.056,0.0928,0.0364,0.0572,0.0451,0.0332,1.5207,2.16
f1:MAFAULDA:mafaulda_normal_36.4544:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0301,0.1265,0.0727,0.0151,0.0135,0.0007,1.5532,1.86
f1:MAFAULDA:mafaulda_normal_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0441,0.1365,0.1246,-0.006,0.0145,0.0241,1.5112,2.28
f1:MAFAULDA:mafaulda_overhang_ball_fault_35g_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,0.1247,0.2643,0.2149,-0.0092,0.1381,0.0805,1.4898,2.95
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_24.7808:col3_underhang_radial:train:100000-150000,MAFAULDA,0.2602,0.2284,0.1638,0.049,0.0926,0.0781,1.1665,2.37
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_55.296:col3_underhang_radial:train:100000-150000,MAFAULDA,0.1649,0.0301,0.1518,0.1186,0.1043,0.0871,1.2786,2.34
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0764,0.1,0.0695,0.0937,0.074,0.077,1.4373,1.67
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_58.368:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0604,0.0657,0.0622,0.0384,0.0637,0.0377,1.4573,2.74
f1:MAFAULDA:mafaulda_overhang_cage_fault_35g_54.0672:col3_underhang_radial:train:100000-150000,MAFAULDA,0.1469,0.0775,0.067,0.068,0.0549,0.0107,1.3049,2.33
f1:MAFAULDA:mafaulda_overhang_outer_race_35g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0688,0.0998,0.0688,0.1243,0.118,0.1149,1.4691,1.49
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_17.6128:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0523,0.061,0.0852,0.0808,0.0658,0.0704,1.3793,1.53
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0473,0.1317,0.1141,0.0128,0.0444,0.0309,1.5268,2.04
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0616,0.0995,0.0634,0.0731,0.058,0.0553,1.5158,1.97
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_56.5248:col3_underhang_radial:train:100000-150000,MAFAULDA,0.1047,0.0761,0.1386,0.003,0.0141,-0.0012,1.3381,4.02
f1:MAFAULDA:mafaulda_underhang_ball_fault_35g_50.7904:col3_underhang_radial:train:100000-150000,MAFAULDA,0.1953,0.1727,0.1608,0.0837,0.0758,0.0772,1.2922,2.57
f1:MAFAULDA:mafaulda_underhang_cage_fault_35g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0333,0.0827,0.0263,0.0524,0.0424,0.0441,1.5473,1.82
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_16.1792:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0161,0.0331,0.0259,0.0393,0.0376,0.0253,1.5668,1.64
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0479,0.1315,0.1339,0.0152,0.0115,0.0119,1.4924,2.7
f1:MAFAULDA:mafaulda_underhang_outer_race_0g_13.5168:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0548,0.0654,0.052,0.032,0.0208,0.0208,1.4466,1.55
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_12.9024:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0527,0.0902,0.0748,0.0274,0.0232,0.0217,1.4568,1.66
f1:MAFAULDA:mafaulda_underhang_outer_race_20g_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0439,0.1302,0.1124,0.0209,0.0174,0.0206,1.5099,2.38
f1:MAFAULDA:mafaulda_vertical-misalignment_0.51mm_12.4928:col3_underhang_radial:train:100000-150000,MAFAULDA,0.1034,0.1194,0.123,0.1245,0.1073,0.0944,1.4515,2.26
f1:MAFAULDA:mafaulda_vertical-misalignment_0.63mm_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0563,0.1217,0.1074,-0.0047,-0.0055,0.0075,1.4765,2.21
f1:MAFAULDA:mafaulda_vertical-misalignment_1.78mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,0.0501,0.1549,0.142,-0.0059,0.0166,0.0076,1.5156,2.32
