fold,seed,dataset,class,n_class,fraction,selected,realised_pct,requested_pct
1,42,JNU,n,84,1.0,84,100.0,100.0
1,42,JNU,ob,12,0.05,1,8.33,5.0
1,42,JNU,ob,12,0.1,2,16.67,10.0
1,42,JNU,ob,12,0.25,3,25.0,25.0
1,42,JNU,ob,12,0.5,6,50.0,50.0
1,42,JNU,ob,12,1.0,12,100.0,100.0
1,42,JNU,tb,12,0.05,1,8.33,5.0
1,42,JNU,tb,12,0.1,2,16.67,10.0
1,42,JNU,tb,12,0.25,3,25.0,25.0
1,42,JNU,tb,12,0.5,6,50.0,50.0
1,42,JNU,tb,12,1.0,12,100.0,100.0
1,42,MAFAULDA,horizontal-misalignment,891,0.05,45,5.05,5.0
1,42,MAFAULDA,horizontal-misalignment,891,0.1,90,10.1,10.0
1,42,MAFAULDA,horizontal-misalignment,891,0.25,223,25.03,25.0
1,42,MAFAULDA,horizontal-misalignment,891,0.5,446,50.06,50.0
1,42,MAFAULDA,horizontal-misalignment,891,1.0,891,100.0,100.0
1,42,MAFAULDA,imbalance,2142,0.05,108,5.04,5.0
1,42,MAFAULDA,imbalance,2142,0.1,215,10.04,10.0
1,42,MAFAULDA,imbalance,2142,0.25,536,25.02,25.0
1,42,MAFAULDA,imbalance,2142,0.5,1071,50.0,50.0
1,42,MAFAULDA,imbalance,2142,1.0,2142,100.0,100.0
1,42,MAFAULDA,normal,315,0.05,16,5.08,5.0
1,42,MAFAULDA,normal,315,0.1,32,10.16,10.0
1,42,MAFAULDA,normal,315,0.25,79,25.08,25.0
1,42,MAFAULDA,normal,315,0.5,158,50.16,50.0
1,42,MAFAULDA,normal,315,1.0,315,100.0,100.0
1,42,MAFAULDA,overhang/ball_fault,567,0.05,29,5.11,5.0
1,42,MAFAULDA,overhang/ball_fault,567,0.1,57,10.05,10.0
1,42,MAFAULDA,overhang/ball_fault,567,0.25,142,25.04,25.0
1,42,MAFAULDA,overhang/ball_fault,567,0.5,284,50.09,50.0
1,42,MAFAULDA,overhang/ball_fault,567,1.0,567,100.0,100.0
1,42,MAFAULDA,overhang/cage_fault,810,0.05,41,5.06,5.0
1,42,MAFAULDA,overhang/cage_fault,810,0.1,81,10.0,10.0
1,42,MAFAULDA,overhang/cage_fault,810,0.25,203,25.06,25.0
1,42,MAFAULDA,overhang/cage_fault,810,0.5,405,50.0,50.0
1,42,MAFAULDA,overhang/cage_fault,810,1.0,810,100.0,100.0
1,42,MAFAULDA,overhang/outer_race,810,0.05,41,5.06,5.0
1,42,MAFAULDA,overhang/outer_race,810,0.1,81,10.0,10.0
1,42,MAFAULDA,overhang/outer_race,810,0.25,203,25.06,25.0
1,42,MAFAULDA,overhang/outer_race,810,0.5,405,50.0,50.0
1,42,MAFAULDA,overhang/outer_race,810,1.0,810,100.0,100.0
1,42,MAFAULDA,underhang/ball_fault,792,0.05,40,5.05,5.0
1,42,MAFAULDA,underhang/ball_fault,792,0.1,80,10.1,10.0
1,42,MAFAULDA,underhang/ball_fault,792,0.25,198,25.0,25.0
1,42,MAFAULDA,underhang/ball_fault,792,0.5,396,50.0,50.0
1,42,MAFAULDA,underhang/ball_fault,792,1.0,792,100.0,100.0
1,42,MAFAULDA,underhang/cage_fault,810,0.05,41,5.06,5.0
1,42,MAFAULDA,underhang/cage_fault,810,0.1,81,10.0,10.0
1,42,MAFAULDA,underhang/cage_fault,810,0.25,203,25.06,25.0
1,42,MAFAULDA,underhang/cage_fault,810,0.5,405,50.0,50.0
1,42,MAFAULDA,underhang/cage_fault,810,1.0,810,100.0,100.0
1,42,MAFAULDA,underhang/outer_race,882,0.05,45,5.1,5.0
1,42,MAFAULDA,underhang/outer_race,882,0.1,89,10.09,10.0
1,42,MAFAULDA,underhang/outer_race,882,0.25,221,25.06,25.0
1,42,MAFAULDA,underhang/outer_race,882,0.5,441,50.0,50.0
1,42,MAFAULDA,underhang/outer_race,882,1.0,882,100.0,100.0
1,42,MAFAULDA,vertical-misalignment,1809,0.05,91,5.03,5.0
1,42,MAFAULDA,vertical-misalignment,1809,0.1,181,10.01,10.0
1,42,MAFAULDA,vertical-misalignment,1809,0.25,453,25.04,25.0
1,42,MAFAULDA,vertical-misalignment,1809,0.5,905,50.03,50.0
1,42,MAFAULDA,vertical-misalignment,1809,1.0,1809,100.0,100.0
1,1337,CWRU,ball,66,0.05,4,6.06,5.0
1,1337,CWRU,ball,66,0.1,7,10.61,10.0
1,1337,CWRU,ball,66,0.25,17,25.76,25.0
1,1337,CWRU,ball,66,0.5,33,50.0,50.0
1,1337,CWRU,ball,66,1.0,66,100.0,100.0
1,1337,CWRU,inner_race,66,0.05,4,6.06,5.0
1,1337,CWRU,inner_race,66,0.1,7,10.61,10.0
1,1337,CWRU,inner_race,66,0.25,17,25.76,25.0
1,1337,CWRU,inner_race,66,0.5,33,50.0,50.0
1,1337,CWRU,inner_race,66,1.0,66,100.0,100.0
1,1337,CWRU,outer_race,188,0.05,10,5.32,5.0
1,1337,CWRU,outer_race,188,0.1,19,10.11,10.0
1,1337,CWRU,outer_race,188,0.25,47,25.0,25.0
1,1337,CWRU,outer_race,188,0.5,94,50.0,50.0
1,1337,CWRU,outer_race,188,1.0,188,100.0,100.0
1,1337,HIT,0,1036,0.05,52,5.02,5.0
1,1337,HIT,0,1036,0.1,104,10.04,10.0
1,1337,HIT,0,1036,0.25,259,25.0,25.0
1,1337,HIT,0,1036,0.5,518,50.0,50.0
1,1337,HIT,0,1036,1.0,1036,100.0,100.0
1,1337,HIT,1,1120,0.05,56,5.0,5.0
1,1337,HIT,1,1120,0.1,112,10.0,10.0
1,1337,HIT,1,1120,0.25,280,25.0,25.0
1,1337,HIT,1,1120,0.5,560,50.0,50.0
1,1337,HIT,1,1120,1.0,1120,100.0,100.0
1,1337,HIT,2,476,0.05,24,5.04,5.0
1,1337,HIT,2,476,0.1,48,10.08,10.0
1,1337,HIT,2,476,0.25,119,25.0,25.0
1,1337,HIT,2,476,0.5,238,50.0,50.0
1,1337,HIT,2,476,1.0,476,100.0,100.0
1,1337,JNU,ib,12,0.05,1,8.33,5.0
1,1337,JNU,ib,12,0.1,2,16.67,10.0
1,1337,JNU,ib,12,0.25,3,25.0,25.0
1,1337,JNU,ib,12,0.5,6,50.0,50.0
1,1337,JNU,ib,12,1.0,12,100.0,100.0
1,1337,JNU,n,84,0.05,5,5.95,5.0
1,1337,JNU,n,84,0.1,9,10.71,10.0
1,1337,JNU,n,84,0.25,21,25.0,25.0
1,1337,JNU,n,84,0.5,42,50.0,50.0
1,1337,JNU,n,84,1.0,84,100.0,100.0
1,1337,JNU,ob,12,0.05,1,8.33,5.0
1,1337,JNU,ob,12,0.1,2,16.67,10.0
1,1337,JNU,ob,12,0.25,3,25.0,25.0
1,1337,JNU,ob,12,0.5,6,50.0,50.0
1,1337,JNU,ob,12,1.0,12,100.0,100.0
1,1337,JNU,tb,12,0.05,1,8.33,5.0
1,1337,JNU,tb,12,0.1,2,16.67,10.0
1,1337,JNU,tb,12,0.25,3,25.0,25.0
1,1337,JNU,tb,12,0.5,6,50.0,50.0
1,1337,JNU,tb,12,1.0,12,100.0,100.0
1,1337,MAFAULDA,horizontal-misalignment,891,0.05,45,5.05,5.0
1,1337,MAFAULDA,horizontal-misalignment,891,0.1,90,10.1,10.0
1,1337,MAFAULDA,horizontal-misalignment,891,0.25,223,25.03,25.0
1,1337,MAFAULDA,horizontal-misalignment,891,0.5,446,50.06,50.0
1,1337,MAFAULDA,horizontal-misalignment,891,1.0,891,100.0,100.0
1,1337,MAFAULDA,imbalance,2142,0.05,108,5.04,5.0
1,1337,MAFAULDA,imbalance,2142,0.1,215,10.04,10.0
1,1337,MAFAULDA,imbalance,2142,0.25,536,25.02,25.0
1,1337,MAFAULDA,imbalance,2142,0.5,1071,50.0,50.0
1,1337,MAFAULDA,imbalance,2142,1.0,2142,100.0,100.0
1,1337,MAFAULDA,normal,315,0.05,16,5.08,5.0
1,1337,MAFAULDA,normal,315,0.1,32,10.16,10.0
1,1337,MAFAULDA,normal,315,0.25,79,25.08,25.0
1,1337,MAFAULDA,normal,315,0.5,158,50.16,50.0
1,1337,MAFAULDA,normal,315,1.0,315,100.0,100.0
1,1337,MAFAULDA,overhang/ball_fault,567,0.05,29,5.11,5.0
1,1337,MAFAULDA,overhang/ball_fault,567,0.1,57,10.05,10.0
1,1337,MAFAULDA,overhang/ball_fault,567,0.25,142,25.04,25.0
1,1337,MAFAULDA,overhang/ball_fault,567,0.5,284,50.09,50.0
1,1337,MAFAULDA,overhang/ball_fault,567,1.0,567,100.0,100.0
1,1337,MAFAULDA,overhang/cage_fault,810,0.05,41,5.06,5.0
1,1337,MAFAULDA,overhang/cage_fault,810,0.1,81,10.0,10.0
1,1337,MAFAULDA,overhang/cage_fault,810,0.25,203,25.06,25.0
1,1337,MAFAULDA,overhang/cage_fault,810,0.5,405,50.0,50.0
1,1337,MAFAULDA,overhang/cage_fault,810,1.0,810,100.0,100.0
1,1337,MAFAULDA,overhang/outer_race,810,0.05,41,5.06,5.0
1,1337,MAFAULDA,overhang/outer_race,810,0.1,81,10.0,10.0
1,1337,MAFAULDA,overhang/outer_race,810,0.25,203,25.06,25.0
1,1337,MAFAULDA,overhang/outer_race,810,0.5,405,50.0,50.0
1,1337,MAFAULDA,overhang/outer_race,810,1.0,810,100.0,100.0
1,1337,MAFAULDA,underhang/ball_fault,792,0.05,40,5.05,5.0
1,1337,MAFAULDA,underhang/ball_fault,792,0.1,80,10.1,10.0
1,1337,MAFAULDA,underhang/ball_fault,792,0.25,198,25.0,25.0
1,1337,MAFAULDA,underhang/ball_fault,792,0.5,396,50.0,50.0
1,1337,MAFAULDA,underhang/ball_fault,792,1.0,792,100.0,100.0
1,1337,MAFAULDA,underhang/cage_fault,810,0.05,41,5.06,5.0
1,1337,MAFAULDA,underhang/cage_fault,810,0.1,81,10.0,10.0
1,1337,MAFAULDA,underhang/cage_fault,810,0.25,203,25.06,25.0
1,1337,MAFAULDA,underhang/cage_fault,810,0.5,405,50.0,50.0
1,1337,MAFAULDA,underhang/cage_fault,810,1.0,810,100.0,100.0
1,1337,MAFAULDA,underhang/outer_race,882,0.05,45,5.1,5.0
1,1337,MAFAULDA,underhang/outer_race,882,0.1,89,10.09,10.0
1,1337,MAFAULDA,underhang/outer_race,882,0.25,221,25.06,25.0
1,1337,MAFAULDA,underhang/outer_race,882,0.5,441,50.0,50.0
1,1337,MAFAULDA,underhang/outer_race,882,1.0,882,100.0,100.0
1,1337,MAFAULDA,vertical-misalignment,1809,0.05,91,5.03,5.0
1,1337,MAFAULDA,vertical-misalignment,1809,0.1,181,10.01,10.0
1,1337,MAFAULDA,vertical-misalignment,1809,0.25,453,25.04,25.0
1,1337,MAFAULDA,vertical-misalignment,1809,0.5,905,50.03,50.0
1,1337,MAFAULDA,vertical-misalignment,1809,1.0,1809,100.0,100.0
1,2026,CWRU,ball,66,0.05,4,6.06,5.0
1,2026,CWRU,ball,66,0.1,7,10.61,10.0
1,2026,CWRU,ball,66,0.25,17,25.76,25.0
1,2026,CWRU,ball,66,0.5,33,50.0,50.0
1,2026,CWRU,ball,66,1.0,66,100.0,100.0
1,2026,CWRU,inner_race,66,0.05,4,6.06,5.0
1,2026,CWRU,inner_race,66,0.1,7,10.61,10.0
1,2026,CWRU,inner_race,66,0.25,17,25.76,25.0
1,2026,CWRU,inner_race,66,0.5,33,50.0,50.0
1,2026,CWRU,inner_race,66,1.0,66,100.0,100.0
1,2026,CWRU,outer_race,188,0.05,10,5.32,5.0
1,2026,CWRU,outer_race,188,0.1,19,10.11,10.0
1,2026,CWRU,outer_race,188,0.25,47,25.0,25.0
1,2026,CWRU,outer_race,188,0.5,94,50.0,50.0
1,2026,CWRU,outer_race,188,1.0,188,100.0,100.0
1,2026,HIT,0,1036,0.05,52,5.02,5.0
1,2026,HIT,0,1036,0.1,104,10.04,10.0
1,2026,HIT,0,1036,0.25,259,25.0,25.0
1,2026,HIT,0,1036,0.5,518,50.0,50.0
1,2026,HIT,0,1036,1.0,1036,100.0,100.0
1,2026,HIT,1,1120,0.05,56,5.0,5.0
1,2026,HIT,1,1120,0.1,112,10.0,10.0
1,2026,HIT,1,1120,0.25,280,25.0,25.0
1,2026,HIT,1,1120,0.5,560,50.0,50.0
1,2026,HIT,1,1120,1.0,1120,100.0,100.0
1,2026,HIT,2,476,0.05,24,5.04,5.0
1,2026,HIT,2,476,0.1,48,10.08,10.0
1,2026,HIT,2,476,0.25,119,25.0,25.0
1,2026,HIT,2,476,0.5,238,50.0,50.0
1,2026,HIT,2,476,1.0,476,100.0,100.0
1,2026,JNU,ib,12,0.05,1,8.33,5.0
1,2026,JNU,ib,12,0.1,2,16.67,10.0
1,2026,JNU,ib,12,0.25,3,25.0,25.0
1,2026,JNU,ib,12,0.5,6,50.0,50.0
1,2026,JNU,ib,12,1.0,12,100.0,100.0
1,2026,JNU,n,84,0.05,5,5.95,5.0
1,2026,JNU,n,84,0.1,9,10.71,10.0
1,2026,JNU,n,84,0.25,21,25.0,25.0
1,2026,JNU,n,84,0.5,42,50.0,50.0
1,2026,JNU,n,84,1.0,84,100.0,100.0
1,2026,JNU,ob,12,0.05,1,8.33,5.0
1,2026,JNU,ob,12,0.1,2,16.67,10.0
1,2026,JNU,ob,12,0.25,3,25.0,25.0
1,2026,JNU,ob,12,0.5,6,50.0,50.0
1,2026,JNU,ob,12,1.0,12,100.0,100.0
1,2026,JNU,tb,12,0.05,1,8.33,5.0
1,2026,JNU,tb,12,0.1,2,16.67,10.0
1,2026,JNU,tb,12,0.25,3,25.0,25.0
1,2026,JNU,tb,12,0.5,6,50.0,50.0
1,2026,JNU,tb,12,1.0,12,100.0,100.0
1,2026,MAFAULDA,horizontal-misalignment,891,0.05,45,5.05,5.0
1,2026,MAFAULDA,horizontal-misalignment,891,0.1,90,10.1,10.0
1,2026,MAFAULDA,horizontal-misalignment,891,0.25,223,25.03,25.0
1,2026,MAFAULDA,horizontal-misalignment,891,0.5,446,50.06,50.0
1,2026,MAFAULDA,horizontal-misalignment,891,1.0,891,100.0,100.0
1,2026,MAFAULDA,imbalance,2142,0.05,108,5.04,5.0
1,2026,MAFAULDA,imbalance,2142,0.1,215,10.04,10.0
1,2026,MAFAULDA,imbalance,2142,0.25,536,25.02,25.0
1,2026,MAFAULDA,imbalance,2142,0.5,1071,50.0,50.0
1,2026,MAFAULDA,imbalance,2142,1.0,2142,100.0,100.0
1,2026,MAFAULDA,normal,315,0.05,16,5.08,5.0
1,2026,MAFAULDA,normal,315,0.1,32,10.16,10.0
1,2026,MAFAULDA,normal,315,0.25,79,25.08,25.0
1,2026,MAFAULDA,normal,315,0.5,158,50.16,50.0
1,2026,MAFAULDA,normal,315,1.0,315,100.0,100.0
1,2026,MAFAULDA,overhang/ball_fault,567,0.05,29,5.11,5.0
1,2026,MAFAULDA,overhang/ball_fault,567,0.1,57,10.05,10.0
1,2026,MAFAULDA,overhang/ball_fault,567,0.25,142,25.04,25.0
1,2026,MAFAULDA,overhang/ball_fault,567,0.5,284,50.09,50.0
1,2026,MAFAULDA,overhang/ball_fault,567,1.0,567,100.0,100.0
1,2026,MAFAULDA,overhang/cage_fault,810,0.05,41,5.06,5.0
1,2026,MAFAULDA,overhang/cage_fault,810,0.1,81,10.0,10.0
1,2026,MAFAULDA,overhang/cage_fault,810,0.25,203,25.06,25.0
1,2026,MAFAULDA,overhang/cage_fault,810,0.5,405,50.0,50.0
1,2026,MAFAULDA,overhang/cage_fault,810,1.0,810,100.0,100.0
1,2026,MAFAULDA,overhang/outer_race,810,0.05,41,5.06,5.0
1,2026,MAFAULDA,overhang/outer_race,810,0.1,81,10.0,10.0
1,2026,MAFAULDA,overhang/outer_race,810,0.25,203,25.06,25.0
1,2026,MAFAULDA,overhang/outer_race,810,0.5,405,50.0,50.0
1,2026,MAFAULDA,overhang/outer_race,810,1.0,810,100.0,100.0
1,2026,MAFAULDA,underhang/ball_fault,792,0.05,40,5.05,5.0
1,2026,MAFAULDA,underhang/ball_fault,792,0.1,80,10.1,10.0
1,2026,MAFAULDA,underhang/ball_fault,792,0.25,198,25.0,25.0
1,2026,MAFAULDA,underhang/ball_fault,792,0.5,396,50.0,50.0
1,2026,MAFAULDA,underhang/ball_fault,792,1.0,792,100.0,100.0
1,2026,MAFAULDA,underhang/cage_fault,810,0.05,41,5.06,5.0
1,2026,MAFAULDA,underhang/cage_fault,810,0.1,81,10.0,10.0
1,2026,MAFAULDA,underhang/cage_fault,810,0.25,203,25.06,25.0
1,2026,MAFAULDA,underhang/cage_fault,810,0.5,405,50.0,50.0
1,2026,MAFAULDA,underhang/cage_fault,810,1.0,810,100.0,100.0
1,2026,MAFAULDA,underhang/outer_race,882,0.05,45,5.1,5.0
1,2026,MAFAULDA,underhang/outer_race,882,0.1,89,10.09,10.0
1,2026,MAFAULDA,underhang/outer_race,882,0.25,221,25.06,25.0
1,2026,MAFAULDA,underhang/outer_race,882,0.5,441,50.0,50.0
1,2026,MAFAULDA,underhang/outer_race,882,1.0,882,100.0,100.0
1,2026,MAFAULDA,vertical-misalignment,1809,0.05,91,5.03,5.0
1,2026,MAFAULDA,vertical-misalignment,1809,0.1,181,10.01,10.0
1,2026,MAFAULDA,vertical-misalignment,1809,0.25,453,25.04,25.0
1,2026,MAFAULDA,vertical-misalignment,1809,0.5,905,50.03,50.0
1,2026,MAFAULDA,vertical-misalignment,1809,1.0,1809,100.0,100.0
2,42,CWRU,ball,66,0.05,4,6.06,5.0
2,42,CWRU,ball,66,0.1,7,10.61,10.0
2,42,CWRU,ball,66,0.25,17,25.76,25.0
2,42,CWRU,ball,66,0.5,33,50.0,50.0
2,42,CWRU,ball,66,1.0,66,100.0,100.0
2,42,CWRU,inner_race,53,0.05,3,5.66,5.0
2,42,CWRU,inner_race,53,0.1,6,11.32,10.0
2,42,CWRU,inner_race,53,0.25,14,26.42,25.0
2,42,CWRU,inner_race,53,0.5,27,50.94,50.0
2,42,CWRU,inner_race,53,1.0,53,100.0,100.0
2,42,CWRU,outer_race,188,0.05,10,5.32,5.0
2,42,CWRU,outer_race,188,0.1,19,10.11,10.0
2,42,CWRU,outer_race,188,0.25,47,25.0,25.0
2,42,CWRU,outer_race,188,0.5,94,50.0,50.0
2,42,CWRU,outer_race,188,1.0,188,100.0,100.0
2,42,HIT,0,1036,0.05,52,5.02,5.0
2,42,HIT,0,1036,0.1,104,10.04,10.0
2,42,HIT,0,1036,0.25,259,25.0,25.0
2,42,HIT,0,1036,0.5,518,50.0,50.0
2,42,HIT,0,1036,1.0,1036,100.0,100.0
2,42,HIT,1,1120,0.05,56,5.0,5.0
2,42,HIT,1,1120,0.1,112,10.0,10.0
2,42,HIT,1,1120,0.25,280,25.0,25.0
2,42,HIT,1,1120,0.5,560,50.0,50.0
2,42,HIT,1,1120,1.0,1120,100.0,100.0
2,42,HIT,2,476,0.05,24,5.04,5.0
2,42,HIT,2,476,0.1,48,10.08,10.0
2,42,HIT,2,476,0.25,119,25.0,25.0
2,42,HIT,2,476,0.5,238,50.0,50.0
2,42,HIT,2,476,1.0,476,100.0,100.0
2,42,JNU,ib,9,0.05,1,11.11,5.0
2,42,JNU,ib,9,0.1,1,11.11,10.0
2,42,JNU,ib,9,0.25,3,33.33,25.0
2,42,JNU,ib,9,0.5,5,55.56,50.0
2,42,JNU,ib,9,1.0,9,100.0,100.0
2,42,JNU,n,81,0.05,5,6.17,5.0
2,42,JNU,n,81,0.1,9,11.11,10.0
2,42,JNU,n,81,0.25,21,25.93,25.0
2,42,JNU,n,81,0.5,41,50.62,50.0
2,42,JNU,n,81,1.0,81,100.0,100.0
2,42,JNU,ob,9,0.05,1,11.11,5.0
2,42,JNU,ob,9,0.1,1,11.11,10.0
2,42,JNU,ob,9,0.25,3,33.33,25.0
2,42,JNU,ob,9,0.5,5,55.56,50.0
2,42,JNU,ob,9,1.0,9,100.0,100.0
2,42,JNU,tb,9,0.05,1,11.11,5.0
2,42,JNU,tb,9,0.1,1,11.11,10.0
2,42,JNU,tb,9,0.25,3,33.33,25.0
2,42,JNU,tb,9,0.5,5,55.56,50.0
2,42,JNU,tb,9,1.0,9,100.0,100.0
2,42,MAFAULDA,horizontal-misalignment,882,0.05,45,5.1,5.0
2,42,MAFAULDA,horizontal-misalignment,882,0.1,89,10.09,10.0
2,42,MAFAULDA,horizontal-misalignment,882,0.25,221,25.06,25.0
2,42,MAFAULDA,horizontal-misalignment,882,0.5,441,50.0,50.0
2,42,MAFAULDA,horizontal-misalignment,882,1.0,882,100.0,100.0
2,42,MAFAULDA,imbalance,2124,0.05,107,5.04,5.0
2,42,MAFAULDA,imbalance,2124,0.1,213,10.03,10.0
2,42,MAFAULDA,imbalance,2124,0.25,531,25.0,25.0
2,42,MAFAULDA,imbalance,2124,0.5,1062,50.0,50.0
2,42,MAFAULDA,imbalance,2124,1.0,2124,100.0,100.0
2,42,MAFAULDA,normal,315,0.05,16,5.08,5.0
2,42,MAFAULDA,normal,315,0.1,32,10.16,10.0
2,42,MAFAULDA,normal,315,0.25,79,25.08,25.0
2,42,MAFAULDA,normal,315,0.5,158,50.16,50.0
2,42,MAFAULDA,normal,315,1.0,315,100.0,100.0
2,42,MAFAULDA,overhang/ball_fault,612,0.05,31,5.07,5.0
2,42,MAFAULDA,overhang/ball_fault,612,0.1,62,10.13,10.0
2,42,MAFAULDA,overhang/ball_fault,612,0.25,153,25.0,25.0
2,42,MAFAULDA,overhang/ball_fault,612,0.5,306,50.0,50.0
2,42,MAFAULDA,overhang/ball_fault,612,1.0,612,100.0,100.0
2,42,MAFAULDA,overhang/cage_fault,882,0.05,45,5.1,5.0
2,42,MAFAULDA,overhang/cage_fault,882,0.1,89,10.09,10.0
2,42,MAFAULDA,overhang/cage_fault,882,0.25,221,25.06,25.0
2,42,MAFAULDA,overhang/cage_fault,882,0.5,441,50.0,50.0
2,42,MAFAULDA,overhang/cage_fault,882,1.0,882,100.0,100.0
2,42,MAFAULDA,overhang/outer_race,810,0.05,41,5.06,5.0
2,42,MAFAULDA,overhang/outer_race,810,0.1,81,10.0,10.0
2,42,MAFAULDA,overhang/outer_race,810,0.25,203,25.06,25.0
2,42,MAFAULDA,overhang/outer_race,810,0.5,405,50.0,50.0
2,42,MAFAULDA,overhang/outer_race,810,1.0,810,100.0,100.0
2,42,MAFAULDA,underhang/ball_fault,891,0.05,45,5.05,5.0
2,42,MAFAULDA,underhang/ball_fault,891,0.1,90,10.1,10.0
2,42,MAFAULDA,underhang/ball_fault,891,0.25,223,25.03,25.0
2,42,MAFAULDA,underhang/ball_fault,891,0.5,446,50.06,50.0
2,42,MAFAULDA,underhang/ball_fault,891,1.0,891,100.0,100.0
2,42,MAFAULDA,underhang/cage_fault,819,0.05,41,5.01,5.0
2,42,MAFAULDA,underhang/cage_fault,819,0.1,82,10.01,10.0
2,42,MAFAULDA,underhang/cage_fault,819,0.25,205,25.03,25.0
2,42,MAFAULDA,underhang/cage_fault,819,0.5,410,50.06,50.0
2,42,MAFAULDA,underhang/cage_fault,819,1.0,819,100.0,100.0
2,42,MAFAULDA,underhang/outer_race,882,0.05,45,5.1,5.0
2,42,MAFAULDA,underhang/outer_race,882,0.1,89,10.09,10.0
2,42,MAFAULDA,underhang/outer_race,882,0.25,221,25.06,25.0
2,42,MAFAULDA,underhang/outer_race,882,0.5,441,50.0,50.0
2,42,MAFAULDA,underhang/outer_race,882,1.0,882,100.0,100.0
2,42,MAFAULDA,vertical-misalignment,1809,0.05,91,5.03,5.0
2,42,MAFAULDA,vertical-misalignment,1809,0.1,181,10.01,10.0
2,42,MAFAULDA,vertical-misalignment,1809,0.25,453,25.04,25.0
2,42,MAFAULDA,vertical-misalignment,1809,0.5,905,50.03,50.0
2,42,MAFAULDA,vertical-misalignment,1809,1.0,1809,100.0,100.0
2,1337,CWRU,ball,66,0.05,4,6.06,5.0
2,1337,CWRU,ball,66,0.1,7,10.61,10.0
2,1337,CWRU,ball,66,0.25,17,25.76,25.0
2,1337,CWRU,ball,66,0.5,33,50.0,50.0
2,1337,CWRU,ball,66,1.0,66,100.0,100.0
2,1337,CWRU,inner_race,53,0.05,3,5.66,5.0
2,1337,CWRU,inner_race,53,0.1,6,11.32,10.0
2,1337,CWRU,inner_race,53,0.25,14,26.42,25.0
2,1337,CWRU,inner_race,53,0.5,27,50.94,50.0
2,1337,CWRU,inner_race,53,1.0,53,100.0,100.0
2,1337,CWRU,outer_race,188,0.05,10,5.32,5.0
2,1337,CWRU,outer_race,188,0.1,19,10.11,10.0
2,1337,CWRU,outer_race,188,0.25,47,25.0,25.0
2,1337,CWRU,outer_race,188,0.5,94,50.0,50.0
2,1337,CWRU,outer_race,188,1.0,188,100.0,100.0
2,1337,HIT,0,1036,0.05,52,5.02,5.0
2,1337,HIT,0,1036,0.1,104,10.04,10.0
2,1337,HIT,0,1036,0.25,259,25.0,25.0
2,1337,HIT,0,1036,0.5,518,50.0,50.0
2,1337,HIT,0,1036,1.0,1036,100.0,100.0
2,1337,HIT,1,1120,0.05,56,5.0,5.0
2,1337,HIT,1,1120,0.1,112,10.0,10.0
2,1337,HIT,1,1120,0.25,280,25.0,25.0
2,1337,HIT,1,1120,0.5,560,50.0,50.0
2,1337,HIT,1,1120,1.0,1120,100.0,100.0
2,1337,HIT,2,476,0.05,24,5.04,5.0
2,1337,HIT,2,476,0.1,48,10.08,10.0
2,1337,HIT,2,476,0.25,119,25.0,25.0
2,1337,HIT,2,476,0.5,238,50.0,50.0
