window_id,boundary_sample_in_window,abs_jump,window_p999_absdiff,jump_ratio,n_frames_touching_boundary,max_frame_energy_zscore,mean_frame_energy_zscore,mean_boundary_frame_flatness,window_mean_flatness
f1:HIT:hit_data3_rec23:ch3:train:262500-287500,3740,0.10039026462822731,0.4537590198529481,0.22124136432712685,4,1.601,1.156,0.8243,0.8098
f1:HIT:hit_data3_rec23:ch3:train:262500-287500,24220,0.556245681855088,0.4537590198529481,1.225861431986801,3,2.003,1.09,0.8028,0.8098
f1:HIT:hit_data3_rec26:ch3:train:200000-225000,4800,0.27672932391200566,0.5898738038548341,0.469133096101414,4,1.126,0.199,0.8552,0.8614
f1:HIT:hit_data4_rec00:ch3:train:125000-150000,18360,0.10637585986143705,0.5181707588972998,0.20529112852220055,4,-0.729,-1.486,0.7947,0.7988
f1:HIT:hit_data4_rec01:ch3:train:75000-100000,6920,0.019841327908947992,0.5404218829284321,0.03671451607657949,4,1.328,0.211,0.8165,0.8041
f1:HIT:hit_data4_rec04:ch3:train:312500-337500,15180,0.030303205997026073,0.5091741979164613,0.059514417896600315,4,-0.295,-0.956,0.7889,0.7901
f1:HIT:hit_data4_rec06:ch3:train:25000-50000,15960,0.15656026424875136,0.5297140245092977,0.29555620014683565,4,1.27,0.007,0.818,0.8081
f1:HIT:hit_data4_rec08:ch3:train:175000-200000,9320,0.25833143182681606,0.566163518602446,0.45628413583418714,4,1.204,0.36,0.8318,0.8265
f1:HIT:hit_data4_rec11:ch3:train:112500-137500,10380,0.17080647073214172,0.5939830200085389,0.2875612012097563,4,0.011,-1.304,0.8344,0.836
f1:HIT:hit_data4_rec12:ch3:train:50000-75000,11440,0.22557700127238478,0.5541617837449924,0.40705982961788123,4,1.849,0.658,0.8314,0.826
f1:HIT:hit_data4_rec16:ch3:train:287500-312500,19700,0.07010237741199887,0.5814573385620471,0.12056323441586027,4,0.254,-0.904,0.8305,0.8319
f1:HIT:hit_data4_rec19:ch3:train:225000-250000,280,0.09502172560009536,0.5655107350418865,0.1680281552796504,2,-0.445,-1.198,0.8306,0.8304
f1:HIT:hit_data4_rec19:ch3:train:225000-250000,20760,0.06837577837802544,0.5655107350418865,0.12090977967525239,4,1.636,-0.509,0.8338,0.8304
f1:HIT:hit_data4_rec23:ch3:train:150000-175000,13840,0.16438293432763718,0.5260015186889497,0.3125141819686119,4,1.56,0.48,0.7867,0.7934
f1:HIT:hit_data4_rec25:ch3:train:0-25000,20480,0.06368076401418665,0.5902628066879851,0.10788544236997916,4,0.592,-0.563,0.8427,0.8464
f1:HIT:hit_data4_rec27:ch3:train:337500-362500,10660,0.04858136660012624,0.5846322963592253,0.08309730218905405,4,0.802,0.272,0.8327,0.8375
f1:HIT:hit_data5_rec07:ch3:train:262500-287500,3740,0.24178732689536397,0.646092542543423,0.37423017752714516,4,0.487,-0.433,0.8532,0.854
f1:HIT:hit_data5_rec07:ch3:train:262500-287500,24220,0.03262136244028313,0.646092542543423,0.05049023211414053,3,0.001,-0.541,0.852,0.854
f1:HIT:hit_data5_rec09:ch3:train:200000-225000,4800,0.005992079571197628,0.6138593141219287,0.009761323862551479,4,0.596,-0.26,0.8397,0.8499
f1:HIT:hit_data5_rec11:ch3:train:125000-150000,18360,0.2598159187085093,0.563021534819073,0.4614671067449306,4,0.429,-0.307,0.8376,0.8434
f1:HIT:hit_data5_rec12:ch3:train:75000-100000,6920,0.3602002748440888,0.5383965102374688,0.6690241634080195,4,0.616,0.173,0.8242,0.8331
f1:HIT:hit_data5_rec14:ch3:train:312500-337500,15180,0.2602726928229,0.5172752552925514,0.5031609189873125,4,-0.012,-0.504,0.8235,0.8252
f1:HIT:hit_data5_rec16:ch3:train:25000-50000,15960,0.024883420370803155,0.49351654650836824,0.05042064049686489,4,1.294,-0.065,0.824,0.8216
f1:HIT:hit_data5_rec18:ch3:train:175000-200000,9320,0.0712706689092204,0.49827591942482546,0.14303454397585016,4,1.016,0.479,0.7753,0.7666
f1:HIT:hit_data5_rec21:ch3:train:112500-137500,10380,0.12361314455455596,0.6082269189125464,0.2032352411750562,4,0.756,0.176,0.8637,0.8485
f1:HIT:hit_data5_rec22:ch3:train:50000-75000,11440,0.04130089047529251,0.5566673483344258,0.07419312556914372,4,0.891,0.013,0.8477,0.8465
