methodology_version,fold_id,dataset,split,window_id,group_id,recording_id,source_file,source_fragment_ids,original_label,mapped_label,channel,native_sampling_rate_hz,window_duration_seconds,stride_seconds,start_sample,end_sample,start_time_seconds,end_time_seconds,rpm,load,fault_type,fault_severity,session,speed_group,temporal_block_id,crosses_source_fragment_boundary,fragment_boundaries_crossed,parent_part2_identity,notes
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:24000-72000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,24000,72000,0.5,1.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:48000-96000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,48000,96000,1.0,2.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:72000-120000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,72000,120000,1.5,2.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:96000-144000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,96000,144000,2.0,3.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:120000-168000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,120000,168000,2.5,3.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:144000-192000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,144000,192000,3.0,4.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:168000-216000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,168000,216000,3.5,4.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:192000-240000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,192000,240000,4.0,5.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:216000-264000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,216000,264000,4.5,5.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:240000-288000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,240000,288000,5.0,6.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:264000-312000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,264000,312000,5.5,6.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:288000-336000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,288000,336000,6.0,7.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:312000-360000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,312000,360000,6.5,7.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:336000-384000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,336000,384000,7.0,8.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:360000-408000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,360000,408000,7.5,8.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:384000-432000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,384000,432000,8.0,9.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:408000-456000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,408000,456000,8.5,9.5,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:432000-480000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,432000,480000,9.0,10.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:0-48000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,0,48000,0.0,1.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:24000-72000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,24000,72000,0.5,1.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:48000-96000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,48000,96000,1.0,2.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:72000-120000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,72000,120000,1.5,2.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:96000-144000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,96000,144000,2.0,3.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:120000-168000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,120000,168000,2.5,3.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:144000-192000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,144000,192000,3.0,4.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:168000-216000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,168000,216000,3.5,4.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:192000-240000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,192000,240000,4.0,5.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:216000-264000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,216000,264000,4.5,5.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:240000-288000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,240000,288000,5.0,6.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:264000-312000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,264000,312000,5.5,6.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:288000-336000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,288000,336000,6.0,7.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:312000-360000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,312000,360000,6.5,7.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:336000-384000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,336000,384000,7.0,8.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:360000-408000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,360000,408000,7.5,8.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:384000-432000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,384000,432000,8.0,9.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:408000-456000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,408000,456000,8.5,9.5,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X111:DE:train:432000-480000,cwru48k_IR007,cwru_X111,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,432000,480000,9.0,10.0,1748.0,2hp,inner_race,7 mil,,,,False,,CWRU:cwru_X111,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:0-48000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,0,48000,0.0,1.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:24000-72000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,24000,72000,0.5,1.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:48000-96000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,48000,96000,1.0,2.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:72000-120000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,72000,120000,1.5,2.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:96000-144000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,96000,144000,2.0,3.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:120000-168000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,120000,168000,2.5,3.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:144000-192000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,144000,192000,3.0,4.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:168000-216000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,168000,216000,3.5,4.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:192000-240000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,192000,240000,4.0,5.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:216000-264000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,216000,264000,4.5,5.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:240000-288000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,240000,288000,5.0,6.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:264000-312000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,264000,312000,5.5,6.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:288000-336000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,288000,336000,6.0,7.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:312000-360000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,312000,360000,6.5,7.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:336000-384000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,336000,384000,7.0,8.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:360000-408000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,360000,408000,7.5,8.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:384000-432000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,384000,432000,8.0,9.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:408000-456000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,408000,456000,8.5,9.5,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X112:DE:train:432000-480000,cwru48k_IR007,cwru_X112,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,432000,480000,9.0,10.0,1721.0,3hp,inner_race,7 mil,,,,False,,CWRU:cwru_X112,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X122:DE:test:0-48000,cwru48k_B007,cwru_X122,data/raw_cwru_48k/ball/B007_0_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,0,48000,0.0,1.0,1796.0,0hp,ball,7 mil,,,,False,,CWRU:cwru_X122,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X122:DE:test:48000-96000,cwru48k_B007,cwru_X122,data/raw_cwru_48k/ball/B007_0_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,48000,96000,1.0,2.0,1796.0,0hp,ball,7 mil,,,,False,,CWRU:cwru_X122,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X122:DE:test:96000-144000,cwru48k_B007,cwru_X122,data/raw_cwru_48k/ball/B007_0_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,96000,144000,2.0,3.0,1796.0,0hp,ball,7 mil,,,,False,,CWRU:cwru_X122,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X122:DE:test:144000-192000,cwru48k_B007,cwru_X122,data/raw_cwru_48k/ball/B007_0_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,144000,192000,3.0,4.0,1796.0,0hp,ball,7 mil,,,,False,,CWRU:cwru_X122,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X122:DE:test:192000-240000,cwru48k_B007,cwru_X122,data/raw_cwru_48k/ball/B007_0_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,192000,240000,4.0,5.0,1796.0,0hp,ball,7 mil,,,,False,,CWRU:cwru_X122,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X123:DE:test:0-48000,cwru48k_B007,cwru_X123,data/raw_cwru_48k/ball/B007_1_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,0,48000,0.0,1.0,1772.0,1hp,ball,7 mil,,,,False,,CWRU:cwru_X123,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X123:DE:test:48000-96000,cwru48k_B007,cwru_X123,data/raw_cwru_48k/ball/B007_1_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,48000,96000,1.0,2.0,1772.0,1hp,ball,7 mil,,,,False,,CWRU:cwru_X123,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X123:DE:test:96000-144000,cwru48k_B007,cwru_X123,data/raw_cwru_48k/ball/B007_1_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,96000,144000,2.0,3.0,1772.0,1hp,ball,7 mil,,,,False,,CWRU:cwru_X123,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X123:DE:test:144000-192000,cwru48k_B007,cwru_X123,data/raw_cwru_48k/ball/B007_1_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,144000,192000,3.0,4.0,1772.0,1hp,ball,7 mil,,,,False,,CWRU:cwru_X123,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X123:DE:test:192000-240000,cwru48k_B007,cwru_X123,data/raw_cwru_48k/ball/B007_1_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,192000,240000,4.0,5.0,1772.0,1hp,ball,7 mil,,,,False,,CWRU:cwru_X123,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X123:DE:test:240000-288000,cwru48k_B007,cwru_X123,data/raw_cwru_48k/ball/B007_1_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,240000,288000,5.0,6.0,1772.0,1hp,ball,7 mil,,,,False,,CWRU:cwru_X123,
methodology_v2.part3b.v1,1,CWRU,test,f1:CWRU:cwru_X123:DE:test:288000-336000,cwru48k_B007,cwru_X123,data/raw_cwru_48k/ball/B007_1_DE48k.mat,,B007,RollingElement,DE,48000,1.0,1.0,288000,336000,6.0,7.0,1772.0,1hp,ball,7 mil,,,,False,,CWRU:cwru_X123,
